"","posID","Time_min","Cell_Area","Cell_BoundingBoxArea","Cell_BoundingBoxMaximum_X","Cell_BoundingBoxMaximum_Y","Cell_BoundingBoxMinimum_X","Cell_BoundingBoxMinimum_Y","Cell_Center_X","Cell_Center_Y","Cell_Compactness","Cell_Eccentricity","Cell_EquivalentDiameter","Cell_EulerNumber","Cell_Extent","Cell_FormFactor","Cell_MajorAxisLength","Cell_MaxFeretDiameter","Cell_MaximumRadius","Cell_MeanRadius","Cell_MedianRadius","Cell_MinFeretDiameter","Cell_MinorAxisLength","Cell_Orientation","Cell_Perimeter","Cell_Solidity","Cell_IntegratedEdge_PCNA","Cell_IntegratedEdge_RELAGFP","Cell_IntegratedEdge_TrackID","Cell_Integrated_PCNA","Cell_Integrated_RELAGFP","Cell_Integrated_TrackID","Cell_LowerQuartile_PCNA","Cell_LowerQuartile_RELAGFP","Cell_LowerQuartile_TrackID","Cell_MAD_PCNA","Cell_MAD_RELAGFP","Cell_MAD_TrackID","Cell_MassDisplacement_PCNA","Cell_MassDisplacement_RELAGFP","Cell_MassDisplacement_TrackID","Cell_MaxEdge_PCNA","Cell_MaxEdge_RELAGFP","Cell_MaxEdge_TrackID","Cell_Max_PCNA","Cell_Max_RELAGFP","Cell_Max_TrackID","Cell_MeanEdge_PCNA","Cell_MeanEdge_RELAGFP","Cell_MeanEdge_TrackID","Cell_Mean_PCNA","Cell_Mean_RELAGFP","Cell_Mean_TrackID","Cell_Median_PCNA","Cell_Median_RELAGFP","Cell_Median_TrackID","Cell_MinEdge_PCNA","Cell_MinEdge_RELAGFP","Cell_MinEdge_TrackID","Cell_Min_PCNA","Cell_Min_RELAGFP","Cell_Min_TrackID","Cell_StdEdge_PCNA","Cell_StdEdge_RELAGFP","Cell_StdEdge_TrackID","Cell_Std_PCNA","Cell_Std_RELAGFP","Cell_Std_TrackID","Cell_UpperQuartile_PCNA","Cell_UpperQuartile_RELAGFP","Cell_UpperQuartile_TrackID","Nucleus_Area","Nucleus_BoundingBoxArea","Nucleus_BoundingBoxMaximum_X","Nucleus_BoundingBoxMaximum_Y","Nucleus_BoundingBoxMinimum_X","Nucleus_BoundingBoxMinimum_Y","Nucleus_Center_X","Nucleus_Center_Y","Nucleus_Compactness","Nucleus_Eccentricity","Nucleus_EquivalentDiameter","Nucleus_EulerNumber","Nucleus_Extent","Nucleus_FormFactor","Nucleus_MajorAxisLength","Nucleus_MaxFeretDiameter","Nucleus_MaximumRadius","Nucleus_MeanRadius","Nucleus_MedianRadius","Nucleus_MinFeretDiameter","Nucleus_MinorAxisLength","Nucleus_Orientation","Nucleus_Perimeter","Nucleus_Solidity","Nucleus_IntegratedEdge_PCNA","Nucleus_IntegratedEdge_RELAGFP","Nucleus_IntegratedEdge_TrackID","Nucleus_Integrated_PCNA","Nucleus_Integrated_RELAGFP","Nucleus_Integrated_TrackID","Nucleus_LowerQuartile_PCNA","Nucleus_LowerQuartile_RELAGFP","Nucleus_LowerQuartile_TrackID","Nucleus_MAD_PCNA","Nucleus_MAD_RELAGFP","Nucleus_MAD_TrackID","Nucleus_MassDisplacement_PCNA","Nucleus_MassDisplacement_RELAGFP","Nucleus_MassDisplacement_TrackID","Nucleus_MaxEdge_PCNA","Nucleus_MaxEdge_RELAGFP","Nucleus_MaxEdge_TrackID","Nucleus_Max_PCNA","Nucleus_Max_RELAGFP","Nucleus_Max_TrackID","Nucleus_MeanEdge_PCNA","Nucleus_MeanEdge_RELAGFP","Nucleus_MeanEdge_TrackID","Nucleus_Mean_PCNA","Nucleus_Mean_RELAGFP","Nucleus_Mean_TrackID","Nucleus_Median_PCNA","Nucleus_Median_RELAGFP","Nucleus_Median_TrackID","Nucleus_MinEdge_PCNA","Nucleus_MinEdge_RELAGFP","Nucleus_MinEdge_TrackID","Nucleus_Min_PCNA","Nucleus_Min_RELAGFP","Nucleus_Min_TrackID","Nucleus_StdEdge_PCNA","Nucleus_StdEdge_RELAGFP","Nucleus_StdEdge_TrackID","Nucleus_Std_PCNA","Nucleus_Std_RELAGFP","Nucleus_Std_TrackID","Nucleus_UpperQuartile_PCNA","Nucleus_UpperQuartile_RELAGFP","Nucleus_UpperQuartile_TrackID","RELAratio","avSize","cellCategory","oneCategory","posIDnew"
"1","17_1",10,1069,1596,75,613,37,571,54.96725912,590.282507,1.793792079,0.392099348,36.89299491,1,0.669799499,0.557478211,38.88805293,44.10215414,16.64331698,5.835695768,5,36.41836116,35.77400958,0.500619773,155.2314934,0.865587045,0.07457084,0.281269551,0,0.726085299,1.632883192,1.53e-05,9.16e-05,0.002288853,0,0.000106813,0.000122072,0,6.639655673,0.412462192,9.13282864,0.003402762,0.002777142,0,0.00436408,0.002822919,1.53e-05,0.000642852,0.002424738,0,0.001082094,0.002433507,2.27e-08,0.00015259,0.00250248,0,1.53e-05,0.00187686,0,1.53e-05,0.00187686,0,0.001070687,0.000236714,0,0.00133104,0.000222965,5.89e-07,0.002487221,0.002597848,0,269,345,54,604,39,581,46.53531599,591.6765799,1.11728568,0.745345747,18.50679436,1,0.779710145,0.895026239,22.75070816,22.09072203,7.615773106,3.200071653,3,14,15.16739938,0.077795031,61.45584412,0.967625899,0.091721981,0.063279164,0,0.261280232,0.173662928,1.53e-05,0.00280766,0.001998932,0,0.000289921,6.1e-05,0,0.160340834,0.101817502,0.769493458,0.0040589,0.002349889,0,0.00436408,0.002349889,1.53e-05,0.003057399,0.002109305,0,0.003110479,0.002067416,1.82e-07,0.00311284,0.002044709,0,0.002243076,0.001922637,0,0.002243076,0.001922637,0,0.000502089,0.000120129,0,0.000451389,9.56e-05,1.65e-06,0.003402762,0.002121004,0,0.807176164,1539.85555555556,"largerCell","aCell","17_1largerCell"
"2","5_1",10,16081,45668,454,252,221,56,346.7352777,168.0199614,18.13421669,0.851825917,143.0907583,1,0.352128405,0.055144372,224.2216558,268.5702888,43.41658669,11.71386611,8.544003745,137.2900332,117.452904,0.977919545,1914.303787,0.674086184,0.135317006,2.769909208,0,1.163286793,22.51422903,1.53e-05,0,0.001800565,0,1.53e-05,1.53e-05,0,101.1037487,1.855891403,122.8055075,0.003784237,0.002456703,0,0.003784237,0.002548257,1.53e-05,9.12e-05,0.001867774,0,9.55e-05,0.001848914,1.25e-09,1.53e-05,0.001815824,0,0,0.001724269,0,0,0.00170901,0,0.000364834,0.000133653,0,0.000402102,0.000120586,1.38e-07,3.05e-05,0.001846342,0,410,552,267,107,243,84,254.4243902,95.41219512,1.068129808,0.437265027,22.84793674,1,0.742753623,0.936215797,24.15841901,23.85372088,10.63014581,4.062712095,3.605551275,21.2,21.72645607,1.073256731,74.18376618,0.966981132,0.085297932,0.077698939,0,0.426306554,0.343724727,1.53e-05,0.002128634,0.001922637,0,0.00030518,3.05e-05,0,0.07341999,0.106067257,0.491068329,0.003097581,0.002258335,0,0.003662165,0.002258335,1.53e-05,0.002187126,0.00199228,0,0.002450038,0.001975429,8.77e-08,0.002410925,0.001953155,0,0.001571679,0.00187686,0,0.001571679,0.001846342,0,0.000393536,9.49e-05,0,0.00046814,7.5e-05,1.15e-06,0.002731365,0.001998932,0,0.873985125,6449.13333333333,"largerCell","aCell","5_1largerCell"
"3","17_2",10,60326,102659,306,573,55,164,190.6807678,376.4111494,39.61010075,0.784706673,277.1451764,1,0.587634791,0.025246086,368.1353062,408.0012255,89.55445271,28.13086431,22.8035085,239.1172798,228.1950286,0.027403582,5479.742746,0.737292382,0.05241474,7.258060577,0,3.440238051,96.87872127,3.05e-05,0,0.001831083,0,1.53e-05,1.53e-05,0,68.45891296,1.047315123,100.3725336,0.000167849,0.00218204,0,0.00561532,0.002914473,3.05e-05,1.34e-05,0.001850602,0,6.65e-05,0.001872451,5.9e-10,1.53e-05,0.001846342,0,0,0.001754788,0,0,0.001739528,0,1.53e-05,2.9e-05,0,0.000353347,0.000112527,1.34e-07,3.05e-05,0.00187686,0,280,378,135,462,117,441,125.6142857,450.1035714,1.081885007,0.559262556,18.88139488,1,0.740740741,0.924312652,20.8828914,20.39607805,8.544003745,3.32273913,3,16.6198429,17.3117204,0.048751759,61.69848481,0.965517241,0.10048066,0.064148928,0,0.328725112,0.190890364,3.05e-05,0.003116655,0.002075227,0,0.000511177,4.58e-05,0,0.130015443,0.049177615,1.304580996,0.004592966,0.002410925,0,0.00561532,0.002410925,3.05e-05,0.00346485,0.002212032,0,0.003693541,0.002144836,3.43e-07,0.003646906,0.002121004,0,0.002319371,0.002075227,0,0.002319371,0.00202945,0,0.000595944,9.67e-05,0,0.000733341,8.45e-05,3.22e-06,0.00413138,0.00218204,0,0.901867895,47216.85,"largerCell","aCell","17_2largerCell"
"4","5_2",10,35636,75920,346,362,54,102,200.3070491,244.0582557,21.95121233,0.750128843,213.0097754,1,0.46938883,0.04555557,278.2108666,299.8032688,65.11528238,20.04825601,16.1245155,201.6693878,183.9785383,-0.840014534,3135.296823,0.799264343,0.073533227,4.386694132,0,1.419089038,54.54001677,3.05e-05,0,0.001800565,0,1.53e-05,1.53e-05,0,82.26719817,0.941609322,115.4525925,0.003006027,0.002578775,0,0.005172809,0.00280766,3.05e-05,3.09e-05,0.001841601,0,4.78e-05,0.001837725,1.03e-09,1.53e-05,0.001815824,0,0,0.001739528,0,0,0.001724269,0,0.000186477,9.81e-05,0,0.000292105,9.84e-05,1.77e-07,3.05e-05,0.001846342,0,331,567,234,144,207,123,221.7129909,133.8761329,1.438608859,0.87425208,20.52905963,1,0.58377425,0.695115975,31.10671272,28.65309756,7.280109889,2.971361677,2.828427125,15.85494593,15.10144565,-1.013774152,77.35533906,0.889784946,0.147035936,0.090806439,0,0.272449838,0.170092317,3.05e-05,0.002639811,0.001968414,0,0.000579843,4.58e-05,0,0.589230525,0.165449424,0.950593561,0.005172809,0.002380407,0,0.005172809,0.002380407,3.05e-05,0.003341726,0.002063783,0,0.00324345,0.002024909,3.63e-07,0.003173877,0.001998932,0,0.001937896,0.001907378,0,0.001922637,0.001907378,0,0.000679178,0.000117663,0,0.000711253,9.82e-05,3.31e-06,0.003830014,0.002044709,0,0.891240563,46536.2666666667,"largerCell","aCell","5_2largerCell"
"5","5_3",10,73244,143152,551,590,183,201,395.3089536,382.9231063,16.66702234,0.582908474,305.3803484,1,0.51165195,0.05999872,356.5596606,395.4099139,116.090482,35.82967005,30.41381265,308.4560058,289.7182097,0.728608039,3916.696931,0.873335162,0.045212482,5.406561378,0,2.13238728,120.2050812,4.58e-05,0,0.001815824,0,1.53e-05,1.53e-05,0,30.32829924,0.394830473,51.13953935,9.16e-05,0.001968414,0,0.005737392,0.00311284,4.58e-05,1.52e-05,0.001819778,0,3.26e-05,0.001836762,6.99e-10,1.53e-05,0.001831083,0,0,0.001724269,0,0,0.00170901,0,1.56e-05,2.76e-05,0,0.000232069,8.56e-05,1.79e-07,1.53e-05,0.001846342,0,353,513,395,447,376,420,385.3314448,433.3144476,1.28009879,0.815423593,21.20031979,1,0.688109162,0.781189708,28.83941265,26.92582404,7.280109889,3.240183033,3,16.50960672,16.69411853,0.231364955,75.35533906,0.914507772,0.143114367,0.093354696,0,0.400579846,0.245380331,4.58e-05,0.003055619,0.002090486,0,0.000495918,6.1e-05,0,0.252339069,0.128798892,0.064425751,0.004699779,0.002563516,0,0.005737392,0.002563516,4.58e-05,0.003407485,0.002222731,0,0.003544954,0.002171507,4.05e-07,0.003547723,0.002136263,0,0.001953155,0.001983673,0,0.001953155,0.001983673,0,0.000693185,0.000171498,0,0.000796686,0.000126125,4.29e-06,0.004043641,0.002227817,0,0.933544056,71775.2333333333,"largerCell","aCell","5_3largerCell"
"6","7_3",10,1540,3196,480,209,433,141,453.4155844,180.4448052,4.086429976,0.819367033,44.28079605,1,0.481852315,0.244712379,63.55100239,74.24957912,16.2788206,5.223200653,4.123105626,43.72717859,36.43183723,0.453355874,281.2142495,0.717948718,0.06645304,0.471808957,0,1.39082934,2.078843366,4.58e-05,7.63e-05,0.002105745,0,0.000244144,0.000183108,0,6.316272257,0.45549399,7.174390756,0.004180972,0.002685588,0,0.00889601,0.002838178,4.58e-05,0.000307653,0.002184301,0,0.001545366,0.002309826,5.09e-08,0.000259403,0.00233463,0,0,0.001785306,0,0,0.001785306,0,0.000731371,0.000238898,0,0.001811645,0.000234217,1.53e-06,0.003173877,0.00250248,0,368,520,471,197,445,177,458.6494565,186.1766304,1.126733981,0.690561788,21.64606552,1,0.707692308,0.887520938,25.71060775,25.70992026,9.219544457,3.658812518,3.16227766,18.02433667,18.59579878,-1.421675959,72.18376618,0.965879265,0.156237127,0.080003052,0,0.589761206,0.283894102,4.58e-05,0.003467613,0.002014191,0,0.000640879,4.58e-05,0,0.587705172,0.130445695,0.17654579,0.00889601,0.002288853,0,0.00889601,0.002288853,4.58e-05,0.004111503,0.002105343,0,0.004304826,0.00207222,3.34e-07,0.004043641,0.002044709,0,0.002853437,0.001953155,0,0.002792401,0.001922637,0,0.001258032,0.000100151,0,0.001156704,8.49e-05,3.9e-06,0.004802777,0.002105745,0,0.843222055,1959.26666666667,"largerCell","aCell","7_3largerCell"
"7","8_3",10,1649,3780,175,396,133,306,150.7374166,351.1613099,2.886925827,0.922466948,45.82108695,1,0.436243386,0.346389225,79.12119254,89.20201791,14.86606875,5.047679093,4.123105626,32.38015523,30.54679896,-0.118589299,244.5868325,0.732888889,0.103929198,0.433325704,0,1.2428626,2.088731212,4.58e-05,0.000137331,0.002090486,0,0.000183108,0.000213626,0,8.730298878,0.918529736,9.883527193,0.003814755,0.002685588,0,0.005569543,0.002838178,4.58e-05,0.000555771,0.00231725,0,0.001379426,0.002318237,5.08e-08,0.000213626,0.00233463,0,0,0.001983673,0,0,0.001937896,0,0.000945974,0.000176658,0,0.001592427,0.000224211,1.52e-06,0.002986954,0.002517739,0,366,480,157,373,137,349,146.5628415,360.5956284,1.081480735,0.713069723,21.58716455,1,0.7625,0.924658173,25.83597536,25.55386468,8.94427191,3.70970952,3.16227766,17.82675246,18.1134247,0.500665971,70.52691193,0.970822281,0.128740369,0.076112001,0,0.487800416,0.288685435,4.58e-05,0.002979324,0.002018006,0,0.000534066,3.05e-05,0,0.258555551,0.034576559,0.93299483,0.005569543,0.002136263,0,0.005569543,0.002136263,4.58e-05,0.003479469,0.002057081,0,0.003459577,0.002047414,3.25e-07,0.003517205,0.002044709,0,0.001342794,0.001953155,0,0.001068132,0.001953155,0,0.000834079,3.56e-05,0,0.000869629,3.95e-05,3.84e-06,0.004028382,0.002075227,0,0.830107536,2118.03333333333,"largerCell","aCell","8_3largerCell"
"8","8_4",10,1639,3726,203,416,157,335,176.4514948,369.4612569,2.448174241,0.888473382,45.68193969,1,0.439881911,0.408467659,73.41126251,82.71033793,16.40121947,5.736399298,5,37.43101763,33.69049517,-0.302938362,224.5512986,0.755647764,0.10421912,0.364263371,0,1.368795311,2.118699931,6.1e-05,3.05e-05,0.002090486,0,0.000106813,0.000167849,0,7.919831974,0.606414035,9.290670347,0.004394598,0.002670329,0,0.00624094,0.002777142,6.1e-05,0.000635482,0.002221118,0,0.001462388,0.002263568,6.52e-08,0.000106813,0.002243076,0,0,0.001953155,0,0,0.001953155,0,0.001154499,0.000140845,0,0.001781306,0.000195456,1.99e-06,0.003036545,0.002426184,0,404,504,185,386,161,365,172.6683168,374.6064356,1.069857386,0.548920595,22.68014057,1,0.801587302,0.934704021,24.95266713,24.69817807,10,3.960472208,3.605551275,19.87767469,20.85729817,-1.17090639,73.69848481,0.971153846,0.15025559,0.084351873,0,0.651056695,0.355779354,6.1e-05,0.00311284,0.00202945,0,0.000617991,3.05e-05,0,0.592030077,0.024373728,0.621488095,0.00624094,0.00218204,0,0.00624094,0.00218204,6.1e-05,0.00366477,0.002057363,0,0.003763333,0.002056528,3.53e-07,0.003639277,0.002059968,0,0.001907378,0.001953155,0,0.001770047,0.001953155,0,0.001209322,5.6e-05,0,0.000981148,4.17e-05,4.63e-06,0.00445182,0.002090486,0,0.838845849,3505.06666666667,"largerCell","aCell","8_4largerCell"
"9","13_4",10,1025,1764,184,360,121,332,148.9746341,346.902439,1.929287612,0.937919471,36.12575997,1,0.58106576,0.518326036,64.00838244,65.1459899,12.04159458,4.483183672,4,23.5639056,22.20150515,1.285543545,157.6396103,0.907079646,0.141542687,0.271183337,0,0.731273366,1.213382162,6.1e-05,0.000442512,0.002056153,0,0.000167849,0.000183108,0,3.694675628,0.685404639,7.126125508,0.003448539,0.002731365,0,0.004303044,0.002777142,6.1e-05,0.001199514,0.002298164,0,0.001409005,0.002337923,1.18e-07,0.000534066,0.002410925,0,0.000198367,0.001922637,0,0.000198367,0.001907378,0,0.001122385,0.000217181,0,0.001201564,0.000248982,2.68e-06,0.002716106,0.002548257,0,276,360,165,359,145,341,153.6956522,349.7608696,1.047825792,0.381961757,18.74604263,1,0.766666667,0.954357115,19.62864667,19.41648784,8.246211251,3.345673798,3,17,18.14036598,1.460678822,60.28427125,0.968421053,0.082810712,0.056076905,0,0.252658885,0.18034638,6.1e-05,0.002449073,0.001983673,0,0.000366217,3.05e-05,0,0.33990545,0.012118448,0.588364546,0.003723201,0.002090486,0,0.004303044,0.002090486,6.1e-05,0.002957525,0.002002747,0,0.002807321,0.002003849,6.78e-07,0.002853437,0.001998932,0,0.001754788,0.001937896,0,0.001480125,0.001937896,0,0.000507578,3.95e-05,0,0.000553963,3.69e-05,6.4e-06,0.003143359,0.00202945,0,0.789795588,976.766666666667,"smallerCell","aCell","13_4smallerCell"
"10","17_6",10,1214,2200,518,81,463,41,489.0634267,62.01976936,1.908807721,0.835823614,39.31555427,1,0.551818182,0.523887235,54.04566445,59.53990259,15.23154621,5.570760382,5,30.26834012,29.67096576,1.091757279,170.645707,0.885485047,0.110337988,0.276203555,0,0.822095067,1.596841382,9.16e-05,4.96e-05,0.001968414,0,0.000114443,0.000198367,0,9.077401244,0.761106704,10.36080508,0.006057832,0.002594034,0,0.00717174,0.002685588,9.16e-05,0.000875698,0.002192092,0,0.001153009,0.002239609,1.28e-07,0.000129702,0.002319371,0,0,0.001846342,0,0,0.001831083,0,0.001220934,0.000196995,0,0.001397189,0.00024294,3.43e-06,0.002151522,0.002456703,0,350,480,510,78,486,58,498.1342857,68.19142857,1.075262475,0.636238319,21.11004123,1,0.729166667,0.930005486,24.19819096,24.04163056,9.055385138,3.657715906,3.16227766,18.38477631,18.66872478,-1.089711898,68.76955262,0.972222222,0.108171207,0.065766384,0,0.390554668,0.244388495,9.16e-05,0.002330816,0.001892119,0,0.000648508,3.05e-05,0,0.182272753,0.023976123,0.458657193,0.006057832,0.002075227,0,0.00717174,0.002075227,9.16e-05,0.003181506,0.001934305,0,0.003075234,0.001924319,7.21e-07,0.003006027,0.001922637,0,0.001297017,0.001831083,0,0.001297017,0.001831083,0,0.001190918,5.26e-05,0,0.00113576,4.24e-05,8.09e-06,0.003570611,0.001953155,0,0.781660336,1209.9,"smallerCell","aCell","17_6smallerCell"
